ix;id;sci;de;en;minConfidence
0;ParMaj0;Parus major;Kohlmeise;Great Tit;
1;FriCoe0;Fringilla coelebs;Buchfink;Common Chaffinch;
2;LusMeg0;Luscinia megarhynchos;Nachtigall;Common Nightingale;
3;TurMer0;Turdus merula;Amsel;Common Blackbird;
4;PhyCol0;Phylloscopus collybita;Zilpzalp;Common Chiffchaff;
5;EriRub0;Erithacus rubecula;Rotkehlchen;European Robin;
6;PhyTro1;Phylloscopus trochilus;Fitis;Willow Warbler;
7;CyaCae0;Cyanistes caeruleus;Blaumeise;Eurasian Blue Tit;
8;SylAtr0;Sylvia atricapilla;Mönchsgrasmücke;Eurasian Blackcap;
9;EmbCit0;Emberiza citrinella;Goldammer;Yellowhammer;
10;TurPhi0;Turdus philomelos;Singdrossel;Song Thrush;
11;TroTro0;Troglodytes troglodytes;Zaunkönig;Eurasian Wren;
12;SylCom0;Sylvia communis;Dorngrasmücke;Common Whitethroat;
13;EmbHor0;Emberiza hortulana;Ortolan;Ortolan Bunting;
14;PerAte0;Periparus ater;Tannenmeise;Coal Tit;
15;ChlChl0;Chloris chloris;Grünfink;European Greenfinch;
16;LoxCur0;Loxia curvirostra;Fichtenkreuzschnabel;Red Crossbill;
17;DenMaj0;Dendrocopos major;Buntspecht;Great Spotted Woodpecker;
18;SitEur0;Sitta europaea;Kleiber;Eurasian Nuthatch;
19;EmbCal0;Emberiza calandra;Grauammer;Corn Bunting;
20;AntTri0;Anthus trivialis;Baumpieper;Tree Pipit;
21;GarGla0;Garrulus glandarius;Eichelhäher;Eurasian Jay;
22;AlaArv0;Alauda arvensis;Feldlerche;Eurasian Skylark;
23;PasMon0;Passer montanus;Feldsperling;Eurasian Tree Sparrow;
24;PhoPho0;Phoenicurus phoenicurus;Gartenrotschwanz;Common Redstart;
25;AegCau0;Aegithalos caudatus;Schwanzmeise;Long-tailed Tit;
26;EmbSch0;Emberiza schoeniclus;Rohrammer;Common Reed Bunting;
27;SylCur0;Sylvia curruca;Klappergrasmücke;Lesser Whitethroat;
28;PruMod0;Prunella modularis;Heckenbraunelle;Dunnock;
29;SylBor0;Sylvia borin;Gartengrasmücke;Garden Warbler;
30;RegReg0;Regulus regulus;Wintergoldhähnchen;Goldcrest;
31;CarCar0;Carduelis carduelis;Stieglitz;European Goldfinch;
32;PoePal0;Poecile palustris;Sumpfmeise;Marsh Tit;
33;PasDom0;Passer domesticus;Haussperling;House Sparrow;
34;DryMar0;Dryocopus martius;Schwarzspecht;Black Woodpecker;
35;PyrPyr0;Pyrrhula pyrrhula;Gimpel;Eurasian Bullfinch;
36;CreCre0;Crex crex;Wachtelkönig;Corn Crake;
37;TurPil0;Turdus pilaris;Wacholderdrossel;Fieldfare;
38;AcrPal0;Acrocephalus palustris;Sumpfrohrsänger;Marsh Warbler;
39;CorCor0;Corvus corax;Kolkrabe;Northern Raven;
40;PoeMon0;Poecile montanus;Weidenmeise;Willow Tit;
41;StrAlu0;Strix aluco;Waldkauz;Tawny Owl;
42;AcrSci0;Acrocephalus scirpaceus;Teichrohrsänger;Eurasian Reed Warbler;
43;CucCan0;Cuculus canorus;Kuckuck;Common Cuckoo;
44;CerBra0;Certhia brachydactyla;Gartenbaumläufer;Short-toed Treecreeper;
45;SylMel0;Sylvia melanocephala;Samtkopf-Grasmücke;Sardinian Warbler;
46;RalAqu0;Rallus aquaticus;Wasserralle;Water Rail;
47;LopCri0;Lophophanes cristatus;Haubenmeise;European Crested Tit;
48;CetCet0;Cettia cetti;Seidensänger;Cetti's Warbler;
49;CarSpi0;Carduelis spinus;Erlenzeisig;Eurasian Siskin;
50;MotFla0;Motacilla flava;Wiesenschafstelze;Western Yellow Wagtail;
51;CerFam0;Certhia familiaris;Waldbaumläufer;Eurasian Treecreeper;
52;TurVis0;Turdus viscivorus;Misteldrossel;Mistle Thrush;
53;PhySib0;Phylloscopus sibilatrix;Waldlaubsänger;Wood Warbler;
54;CarCan0;Carduelis cannabina;Bluthänfling;Common Linnet;
55;LusLus0;Luscinia luscinia;Sprosser;Thrush Nightingale;
56;AcrSch0;Acrocephalus schoenobaenus;Schilfrohrsänger;Sedge Warbler;
57;HirRus0;Hirundo rustica;Rauchschwalbe;Barn Swallow;
58;FicHyp0;Ficedula hypoleuca;Trauerschnäpper;European Pied Flycatcher;
59;AcrAru0;Acrocephalus arundinaceus;Drosselrohrsänger;Great Reed Warbler;
60;AntPra0;Anthus pratensis;Wiesenpieper;Meadow Pipit;
61;StuVul0;Sturnus vulgaris;Star;Common Starling;
62;OriOri0;Oriolus oriolus;Pirol;Eurasian Golden Oriole;
63;TurIli0;Turdus iliacus;Rotdrossel;Redwing;
64;MotAlb0;Motacilla alba;Bachstelze;White Wagtail;
65;SerSer0;Serinus serinus;Girlitz;European Serin;
66;CorCor2;Corvus corone;Rabenkrähe;Carrion Crow;
67;CocCoc0;Coccothraustes coccothraustes;Kernbeißer;Hawfinch;
68;PicPic0;Pica pica;Elster;Eurasian Magpie;
69;RegIgn0;Regulus ignicapilla;Sommergoldhähnchen;Common Firecrest;
70;CarEry0;Carpodacus erythrinus;Karmingimpel;Common Rosefinch;
71;HipIct0;Hippolais icterina;Gelbspötter;Icterine Warbler;
72;CorCor1;Corvus cornix;Nebelkrähe;Hooded Crow;
73;DenMin0;Dendrocopos minor;Kleinspecht;Lesser Spotted Woodpecker;
74;FulAtr0;Fulica atra;Blässhuhn;Eurasian Coot;
75;PicVir0;Picus viridis;Grünspecht;European Green Woodpecker;
76;PhyIbe0;Phylloscopus ibericus;Iberienzilpzalp;Iberian Chiffchaff;
77;PhoOch0;Phoenicurus ochruros;Hausrotschwanz;Black Redstart;
78;PhyBon0;Phylloscopus bonelli;Berglaubsänger;Western Bonelli's Warbler;
79;LusSve0;Luscinia svecica;Blaukehlchen;Bluethroat;
80;AnaPla0;Anas platyrhynchos;Stockente;Mallard;
81;AnsAns0;Anser anser;Graugans;Greylag Goose;
82;LocNae0;Locustella naevia;Feldschwirl;Common Grasshopper Warbler;
83;PorPor0;Porzana porzana;Tüpfelsumpfhuhn;Spotted Crake;
84;GalGal0;Gallinago gallinago;Bekassine;Common Snipe;
85;LulArb0;Lullula arborea;Heidelerche;Woodlark;
86;TriTot0;Tringa totanus;Rotschenkel;Common Redshank;
87;VanVan0;Vanellus vanellus;Kiebitz;Northern Lapwing;
